Order ID,Region,Country
535113847,Middle East and North Africa,Azerbaijan
874708545,Central America and the Caribbean,Panama
854349935,Sub-Saharan Africa,Sao Tome and Principe
892836844,Sub-Saharan Africa,Sao Tome and Principe
129280602,Central America and the Caribbean,Belize
473105037,Europe,Denmark
754046475,Europe,Germany
772153747,Middle East and North Africa,Turkey
847788178,Europe,United Kingdom
471623599,Asia,Kazakhstan
554646337,Central America and the Caribbean,Haiti
278155219,Europe,Italy
243761575,Europe,Malta
223389232,Middle East and North Africa,Jordan
509274518,Asia,Cambodia
563966262,Central America and the Caribbean,Saint Kitts and Nevis 
370325791,Sub-Saharan Africa,Cameroon
881526935,Middle East and North Africa,Bahrain
871056020,Australia and Oceania,Solomon Islands
982711875,Europe,Monaco
580605828,Sub-Saharan Africa,Comoros
899161708,Europe,Iceland
993115842,Sub-Saharan Africa,Zambia
887517058,Middle East and North Africa,Egypt
227726686,Sub-Saharan Africa,Togo
529418551,Middle East and North Africa,Saudi Arabia
228578984,Middle East and North Africa,Morocco
531506812,Middle East and North Africa,Tunisia 
464813363,Sub-Saharan Africa,Angola
925422465,Asia,Vietnam
630570447,Europe,Belarus
167806136,Asia,Myanmar
644990861,Europe,Lithuania
540298449,Europe,Switzerland
652215230,Central America and the Caribbean,Antigua and Barbuda 
949540030,Asia,Mongolia
121384179,North America,Greenland
527171504,Sub-Saharan Africa,Eritrea
546638333,Europe,Lithuania
429833495,Central America and the Caribbean,Saint Vincent and the Grenadines
947118318,Europe,Portugal
239166629,Middle East and North Africa,Somalia
566964757,Middle East and North Africa,Turkey
661811530,Middle East and North Africa,Israel
675318276,Central America and the Caribbean,Dominica
829408824,Europe,Luxembourg
966319501,Europe,Switzerland
998599135,Asia,Singapore
459109055,Europe,Cyprus
751023089,Sub-Saharan Africa,Botswana
197827565,Central America and the Caribbean,Belize
793321311,Sub-Saharan Africa,Malawi
551615655,Asia,Kyrgyzstan
257134425,Europe,Macedonia
314613950,Sub-Saharan Africa,Rwanda
299103057,Sub-Saharan Africa,Cape Verde
305963075,Middle East and North Africa,Pakistan
500867831,Asia,Kyrgyzstan
669803655,Sub-Saharan Africa,Eritrea
669069373,Middle East and North Africa,Israel
875276315,Middle East and North Africa,Libya
835348308,Asia,Bangladesh
616521680,Sub-Saharan Africa,Benin
356345260,Sub-Saharan Africa,Burundi
712680375,Europe,Malta
613700854,Central America and the Caribbean,Saint Vincent and the Grenadines
407893025,Asia,China
514055716,Central America and the Caribbean,Dominica
971300256,Europe,Albania
989050471,Europe,Luxembourg
297042691,Middle East and North Africa,Pakistan
495325744,Europe,Bulgaria
104260957,Middle East and North Africa,Egypt
414522159,Sub-Saharan Africa,Central African Republic
537095677,Sub-Saharan Africa,Benin
553280341,Middle East and North Africa,Turkey
164687478,Europe,Ukraine
943240916,Sub-Saharan Africa,Uganda
481176984,Sub-Saharan Africa,Ghana
941044509,Sub-Saharan Africa,Namibia
505704820,Sub-Saharan Africa,Republic of the Congo
128331744,Europe,Netherlands
382411611,Australia and Oceania,Australia
111743247,Europe,Montenegro
480437982,Middle East and North Africa,Iraq
922919642,Sub-Saharan Africa,Cote d'Ivoire
493924558,North America,Mexico
118501555,Europe,Slovakia
342011964,Europe,Bulgaria
880129611,Middle East and North Africa,Afghanistan
168840825,Asia,Indonesia
314444434,Europe,Italy
343551766,Europe,Ukraine
